CB,1,4,5,1,80,27.863139434784,40.879
CB,1,4,5,2,160,39.863139434784,81.758
CB,1,4,5,3,240,46.882689443438,122.637
CB,1,4,5,4,320,51.863139434784,163.516
CB,1,4,5,5,400,55.726276573432,204.395
CB,1,4,5,6,480,58.882689443438,245.274
CB,1,4,5,7,560,61.551398499475,286.153
CB,1,4,5,8,640,63.863139434784,327.032
CB,1,4,5,9,720,65.902239452092,367.911
CB,1,3,13,1,104,32.405278913829,53.1427
CB,1,3,13,2,208,44.405278913829,106.2854
CB,1,3,13,3,312,51.424828922483,159.4281
CB,1,3,13,4,416,56.405278913829,212.5708
CB,1,3,13,5,520,60.268416052477,265.7135
CB,1,3,13,6,624,63.424828922483,318.8562
CB,1,3,13,7,728,66.093537978520,371.9989
CB,1,3,13,8,832,68.405278913829,425.1416
CB,1,3,13,9,936,70.444378931137,478.2843
CB,1,2,1,1,128,36.000002296136,65.4064
CB,1,2,1,2,256,48.000002296136,130.8128
CB,1,2,1,3,384,55.019552304790,196.2192
CB,1,2,1,4,512,60.000002296136,261.6256
CB,1,2,1,5,640,63.863139434784,327.032
CB,1,2,1,6,768,67.019552304790,392.4384
CB,1,2,1,7,896,69.688261360827,457.8448
CB,1,2,1,8,1024,72.000002296136,523.2512
CB,1,2,1,9,1152,74.039102313444,588.6576
CB,1,1,3,1,192,43.019552304790,98.1096
CB,1,1,3,2,384,55.019552304790,196.2192
CB,1,1,3,3,576,62.039102313444,294.3288
CB,1,1,3,4,768,67.019552304790,392.4384
CB,1,1,3,5,960,70.882689443438,490.548
CB,1,1,3,6,1152,74.039102313444,588.6576
CB,1,1,3,7,1344,76.707811369481,686.7672
CB,1,1,3,8,1536,79.019552304790,784.8768
CB,1,1,3,9,1728,81.058652322097,882.9864
VCL,1,4,7,1,112,33.688261360827,57.2306
VCL,1,4,7,2,224,45.688261360827,114.4612
VCL,1,4,7,3,336,52.707811369481,171.6918
VCL,1,4,7,4,448,57.688261360827,228.9224
VCL,1,4,7,5,560,61.551398499475,286.153
VCL,1,4,7,6,672,64.707811369481,343.3836
VCL,1,4,7,7,784,67.376520425518,400.6142
VCL,1,4,7,8,896,69.688261360827,457.8448
VCL,1,4,7,9,1008,71.727361378135,515.0754
VCL,1,3,11,1,176,41.513181719783,89.9338
VCL,1,3,11,2,352,53.513181719783,179.8676
VCL,1,3,11,3,528,60.532731728437,269.8014
VCL,1,3,11,4,704,65.513181719783,359.7352
VCL,1,3,11,5,880,69.376318858432,449.669
VCL,1,3,11,6,1056,72.532731728437,539.6028
VCL,1,3,11,7,1232,75.201440784475,629.5366
VCL,1,3,11,8,1408,77.513181719783,719.4704
VCL,1,3,11,9,1584,79.552281737091,809.4042
VCL,1,2,1,1,256,48.000002296136,130.8128
VCL,1,2,1,2,512,60.000002296136,261.6256
VCL,1,2,1,3,768,67.019552304790,392.4384
VCL,1,2,1,4,1024,72.000002296136,523.2512
VCL,1,2,1,5,1280,75.863139434784,654.064
VCL,1,2,1,6,1536,79.019552304790,784.8768
VCL,1,2,1,7,1792,81.688261360827,915.6896
VCL,1,2,1,8,2048,84.000002296136,1046.5024
VCL,1,2,1,9,2304,86.039102313444,1177.3152
VCL,1,1,13,1,416,56.405278913829,212.5708
VCL,1,1,13,2,832,68.405278913829,425.1416
VCL,1,1,13,3,1248,75.424828922483,637.7124
VCL,1,1,13,4,1664,80.405278913829,850.2832
VCL,1,1,13,5,2080,84.268416052477,1062.854
VCL,1,1,13,6,2496,87.424828922483,1275.4248
VCL,1,1,13,7,2912,90.093537978520,1487.9956
VCL,1,1,13,8,3328,92.405278913829,1700.5664
